Player,player_id,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IPL team key,Overs,Mdns,Runs conceeded,Wkts,BBI,Bowling Ave,Econ,Bowling SR,4 wicket hauls,5 wicket hauls,Ct
KH Pandya,471342,79,68,21,"1,104",86,23.48,783,140.99,0,1,2,103,44,101,226.3,0,1663,49,3/14,33.93,7.34,27.70,0,0,27
KA Pollard,230559,172,155,50,"3,206",87*,30.53,2129,150.58,0,16,4,208,212,101,230,0,2029,63,4/44,32.20,8.82,21.90,1,0,93
DA Miller,321777,86,84,26,"1,952",62,29.88,1333,133.14,1,10,3,137,90,106,0,0,0,0,,0.00,0.00,0.00,0,0,52
M Vohra,532856,53,49,2,"1,054",95,16.26,721,119.15,0,3,3,102,41,106,0,0,0,0,,0.00,0.00,0.00,0,0,13
RV Uthappa,35582,189,182,17,"4,607",87,26.62,1790,126.29,0,24,7,454,163,106,0,0,0,0,,0.00,0.00,0.00,0,0,87
JC Buttler,308967,65,64,8,"1,968",77,33.13,951,148.75,1,11,1,194,90,106,0,0,0,0,,0.00,0.00,0.00,0,0,34
E Lewis,431901,17,17,0,466,65,31.44,328,151.26,0,2,2,43,27,106,0,0,0,0,,0.00,0.00,0.00,0,0,6
R Parag,1079434,27,20,3,328,50,19.29,262,125.19,0,1,2,29,12,106,22,0,217,3,1/7,72.33,9.86,44.00,0,0,12
BA Stokes,311158,43,42,6,920,107*,27.42,463,136.72,2,2,3,79,32,106,113.5,2,974,28,3/15,33.73,8.30,24.05,0,0,21
AB de Villiers,44936,177,163,38,"5,056",133*,37.06,2747,138.46,3,40,10,406,245,100,0,0,0,0,,0.00,0.00,0.00,0,0,111
AJ Finch,5334,87,85,7,"2,005",88*,22.06,479,114.71,0,14,8,204,75,100,7.1,0,67,1,,6.13,2.88,3.00,0,0,27
GJ Maxwell,325026,90,86,11,"1,738",95,22.29,815,140.48,0,8,11,139,101,100,93,0,804,19,,18.01,10.05,12.83,0,0,33
V Kohli,253802,200,192,31,"6,081",113,37.77,4663,130.40,5,40,6,525,205,100,41.5,0,368,4,2/25,92.00,8.79,62.70,0,0,79
D Padikkal,1119026,22,22,1,690,101*,32.85,527,130.92,1,5,0,76,17,100,0,0,0,0,,0.00,0.00,0.00,0,0,10
KM Jadhav,290716,92,79,26,"1,184",69,18.27,421,111.69,0,4,6,101,40,107,0,0,0,0,,0.00,0.00,0.00,0,0,30
WP Saha,279810,127,102,22,"2,005",87,26.06,845,127.97,1,8,3,186,66,107,0,0,0,0,,0.00,0.00,0.00,0,0,64
V Shankar,477021,47,39,12,712,63*,24.91,416,87.81,0,3,1,45,28,107,38.1,0,329,9,2/19,29.83,12.81,18.03,0,0,21
DA Warner,219889,149,149,19,"5,447",126,39.43,2812,137.89,4,50,8,525,201,107,0.1,0,2,0,,0.00,6.00,0.00,0,0,68
SP Goswami,302579,31,21,1,293,52,13.82,155,103.35,0,1,4,32,3,107,0,0,0,0,,0.00,0.00,0.00,0,0,17
MK Pandey,290630,152,141,26,"3,478",94,24.20,1015,102.90,1,20,12,301,101,107,0,0,0,0,,0.00,0.00,0.00,0,0,73
JM Bairstow,297433,28,28,3,"1,038",114,41.52,730,142.19,1,7,2,99,46,107,0,0,0,0,,0.00,0.00,0.00,0,0,18
PK Garg,1070180,14,10,1,133,51*,14.77,111,119.81,0,1,1,9,4,107,0,0,0,0,,0.00,0.00,0.00,0,0,6
KS Williamson,277906,58,57,14,"1,765",89,41.04,1328,132.90,0,16,1,150,55,107,3,0,31,0,,0.00,10.33,0.00,0,0,24
