Season ID,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IPL Team Key,player_id,Season Name
13840,AT Rayudu,8,6,2,136,72*,34,71,191.54,0,1,1,6,13,102,33141,2021
12741,STR Binny,8,5,2,70,33*,23.33,40,175,0,0,1,5,4,106,27223,2019
13840,CH Morris,8,5,2,53,36*,17.66,36,147.22,0,0,1,0,5,106,439952,2021
13840,AB de Villiers,8,7,2,207,76*,41.4,127,162.99,0,2,1,16,10,100,44936,2021
13840,MS Dhoni,8,5,1,40,18,10,35,114.28,0,0,1,4,1,102,28081,2021
13840,N Rana,8,7,0,201,80,28.71,164,122.56,0,2,1,21,9,101,604527,2021
13533,Shivam Mavi,8,3,1,10,9,5,14,71.42,0,0,1,1,0,101,1079848,2020
13840,CV Varun,8,2,1,2,2*,2,4,50,0,0,1,0,0,101,1108375,2021
13840,Shubman Gill,8,8,0,180,48,22.5,146,123.28,0,0,1,20,6,101,1070173,2021
13840,JJ Bumrah,8,4,3,5,3*,5,8,62.5,0,0,1,0,0,101,625383,2021
13840,MA Agarwal,8,8,1,327,99*,46.71,227,144.05,0,3,1,31,13,101,398438,2021
13840,CH Gayle,8,8,1,178,46,25.42,133,133.83,0,0,1,20,8,101,51880,2021
12741,SM Curran,9,8,4,95,55*,23.75,55,172.72,0,1,1,13,3,101,662973,2019
12741,BA Stokes,9,9,3,123,46,20.5,99,124.24,0,0,1,8,4,106,311158,2019
13840,DJ Hooda,9,8,1,116,64,16.57,83,139.75,0,1,1,7,8,101,497121,2021
13533,CH Morris,9,5,1,34,25*,8.5,21,161.9,0,0,1,2,3,100,439952,2020
13840,MP Stoinis,9,6,3,71,27*,23.66,49,144.89,0,0,1,10,1,101,325012,2021
12741,SN Thakur,10,3,1,14,12*,7,7,200,0,0,1,1,1,102,475281,2019
13533,I Udana,10,4,1,15,10*,5,11,136.36,0,0,1,1,1,100,328026,2020
13533,KL Nagarkoti,10,6,3,22,8*,7.33,31,70.96,0,0,1,1,0,101,1070188,2020
12741,YK Pathan,10,8,5,40,16*,13.33,45,88.88,0,0,1,1,1,107,32498,2019
13533,JM Bairstow,11,11,0,345,97,31.36,272,126.83,0,3,1,31,13,107,297433,2020
12741,DJ Hooda,11,7,1,64,20,10.66,63,101.58,0,0,1,5,1,107,497121,2019
12741,RV Uthappa,12,11,2,282,67*,31.33,245,115.1,0,1,1,28,10,101,35582,2019
13533,RG Sharma,12,12,0,332,80,27.66,260,127.69,0,3,1,27,19,101,34102,2020
12741,K Rabada,12,4,1,14,9,4.66,15,93.33,0,0,1,0,1,101,550215,2019
13533,F du Plessis,13,13,2,449,87*,40.81,319,140.75,0,4,1,42,14,102,44828,2020
13533,GJ Maxwell,13,11,4,108,32,15.42,106,101.88,0,0,1,9,0,101,325026,2020
12741,MA Agarwal,13,13,0,332,58,25.53,234,141.88,0,2,1,26,14,101,398438,2019
12741,RD Chahar,13,4,2,12,10,6,11,109.09,0,0,1,2,0,101,1064812,2019
13533,Sandeep Sharma,13,5,3,12,9,6,15,80,0,0,1,1,0,107,438362,2020
12741,Mandeep Singh,13,12,8,165,33*,41.25,120,137.5,0,0,1,10,4,101,398506,2019
12741,AD Russell,14,13,4,510,80*,56.66,249,204.81,0,4,1,31,52,101,276298,2019
12741,PA Patel,14,14,0,373,67,26.64,268,139.17,0,2,1,48,10,100,32242,2019
12741,KM Jadhav,14,12,3,162,58,18,169,95.85,0,1,1,19,3,102,290716,2019
12741,AR Patel,14,12,6,110,26,18.33,88,125,0,0,1,10,3,101,554691,2019
13533,PK Garg,14,10,1,133,51*,14.77,111,119.81,0,1,1,9,4,107,1070180,2020
13533,DL Chahar,14,3,2,7,5*,7,12,58.33,0,0,1,0,0,102,447261,2020
12741,Mohammed Shami,14,2,1,1,1*,1,2,50,0,0,1,0,0,101,481896,2019
13533,Mohammed Shami,14,3,2,2,2*,2,3,66.66,0,0,1,0,0,101,481896,2020
12741,N Rana,14,11,1,344,85*,34.4,235,146.38,0,3,1,27,21,101,604527,2019
13533,Ishan Kishan,14,13,4,516,99,57.33,354,145.76,0,4,1,36,30,101,720471,2020
13533,HH Pandya,14,13,5,281,60*,35.12,157,178.98,0,1,1,14,25,101,625371,2020
13533,N Pooran,14,14,4,353,77,35.3,208,169.71,0,2,1,23,25,101,604302,2020
13533,AB de Villiers,15,14,4,454,73*,45.4,286,158.74,0,5,1,33,23,100,44936,2020
12741,Q de Kock,16,16,1,529,81,35.26,398,132.91,0,4,1,45,25,101,379143,2019
13533,Q de Kock,16,16,2,503,78*,35.92,358,140.5,0,4,1,46,22,101,379143,2020
12741,S Dhawan,16,16,1,521,97*,34.73,384,135.67,0,5,1,64,11,101,28235,2019
12741,KH Pandya,16,15,4,183,42,16.63,150,122,0,0,1,18,5,101,471342,2019
13533,KA Pollard,16,12,7,268,60*,53.6,140,191.42,0,1,1,15,22,101,230559,2020
12741,HH Pandya,16,15,6,402,91,44.66,210,191.42,0,1,1,28,29,101,625371,2019
13533,KH Pandya,16,12,6,109,34,18.16,92,118.47,0,0,1,9,5,101,471342,2020
13533,Rashid Khan,16,7,3,35,14,8.75,30,116.66,0,0,1,3,2,107,793463,2020
12741,PP Shaw,16,16,0,353,99,22.06,264,133.71,0,2,1,45,9,101,1070168,2019
13533,K Rabada,17,8,4,56,15*,14,49,114.28,0,0,1,4,2,101,550215,2020
13533,MP Stoinis,17,17,3,352,65,25.14,237,148.52,0,3,1,31,16,101,325012,2020
12741,SK Raina,17,17,1,383,59,23.93,314,121.97,0,3,1,45,9,102,33335,2019
12741,DL Chahar,17,2,0,7,7,3.5,9,77.77,0,0,1,1,0,102,447261,2019
12741,Gurkeerat Singh,3,3,0,98,65,32.66,70,140,0,1,0,11,2,100,537124,2019
12741,Yuvraj Singh,4,4,0,98,53,24.5,75,130.66,0,1,0,7,6,101,36084,2019
13533,WP Saha,4,4,1,214,87,71.33,153,139.86,0,2,0,24,5,107,279810,2020
13533,TK Curran,5,4,3,83,54*,83,62,133.87,0,1,0,5,3,106,550235,2020
13840,KS Williamson,5,5,3,146,66*,73,127,114.96,0,1,0,14,1,107,277906,2021
13840,MK Pandey,6,6,1,210,61*,42,172,122.09,0,2,0,13,8,107,290630,2021
13840,SO Hetmyer,7,6,5,84,53*,84,41,204.87,0,1,0,5,6,101,670025,2021
13840,RG Sharma,7,7,0,250,63,35.71,195,128.2,0,1,0,18,11,101,34102,2021
13840,JM Bairstow,7,7,1,248,63*,41.33,175,141.71,0,2,0,20,15,107,297433,2021
13533,CH Gayle,7,7,0,288,99,41.14,210,137.14,0,3,0,15,23,101,51880,2020
12741,R Parag,7,5,0,160,50,32,126,126.98,0,1,0,17,5,106,1079434,2019
13840,Q de Kock,7,7,1,172,70*,28.66,144,119.44,0,1,0,18,3,101,379143,2021
